Size,GLOBAL Cycles,SOCKET Cycles,LOCAL Cycles
4096,341.58,185.04,42.01
8192,347.67,191.92,39.09
16384,345.71,187.67,34.68
32768,331.22,182.43,22.01
65536,332.44,178.86,18.81
131072,315.07,151.39,21.01
262144,484.98,209.85,25.24
524288,419.63,167.55,39.46
1048576,369.48,159.45,61.47
2097152,351.71,135.54,75.88
