Size,GLOBAL Cycles,SOCKET Cycles,LOCAL Cycles
4096,353.86,189.7,78.54
8192,358.6,203.14,121.51
16384,359.65,210.59,137.79
32768,349.64,198.17,109.35
65536,350.07,176.86,93.52
131072,326.12,134.14,69.98
262144,453.71,168.38,119.43
524288,385.95,133.83,107.07
1048576,346.58,106.81,97.7
2097152,350.28,79.0,99.0
