Size,GLOBAL Cycles,SOCKET Cycles,LOCAL Cycles
4096,332.08,102.32,42.02
8192,338.29,100.76,37.61
16384,336.39,92.97,41.88
32768,322.98,90.44,26.5
65536,335.76,82.64,29.84
131072,314.06,66.61,22.03
262144,448.39,80.22,19.37
524288,381.92,70.44,27.29
1048576,341.93,88.08,61.73
2097152,347.43,78.37,86.28
