Size,GLOBAL Cycles,SOCKET Cycles,LOCAL Cycles
4096,361.93,208.58,47.31
8192,369.66,235.33,51.01
16384,373.14,213.75,48.05
32768,365.91,211.98,27.23
65536,347.85,195.5,26.26
131072,343.67,167.74,24.55
262144,506.3,211.75,26.1
524288,449.66,174.01,42.59
1048576,474.17,167.63,65.74
2097152,483.26,138.65,76.89
