Size,GLOBAL Cycles,SOCKET Cycles,LOCAL Cycles
4096,402.0,176.22,47.53
8192,320.24,172.07,48.03
16384,349.41,184.64,44.6
32768,301.18,163.99,38.33
65536,289.54,125.6,33.77
131072,268.5,93.35,24.0
262144,397.72,130.63,35.91
524288,337.55,97.1,53.83
1048576,330.0,97.44,71.41
2097152,342.72,82.04,79.06
