Size,GLOBAL Cycles,SOCKET Cycles,LOCAL Cycles
4096,308.02,145.95,42.27
8192,307.04,149.52,41.48
16384,317.38,158.83,32.33
32768,296.61,137.86,28.71
65536,276.32,110.79,24.27
131072,255.48,88.35,23.16
262144,392.65,124.33,33.87
524288,336.36,95.02,50.84
1048576,322.54,92.02,73.24
2097152,334.71,76.37,77.14
