Test,Placement,Size,Cycles
STORE_ON_MODIFIED,SOCKET,131072,93.35
STORE_ON_EXCLUSIVE,SOCKET,131072,167.74
LOAD_FROM_SHARED_OR_FORWARD,GLOBAL,131072,314.06
LOAD_FROM_MODIFIED,GLOBAL,131072,255.48
LOAD_FROM_EXCLUSIVE,GLOBAL,131072,315.07
STORE_ON_SHARED_OR_FORWARD,GLOBAL,131072,326.12
STORE_ON_MODIFIED,GLOBAL,131072,268.5
STORE_ON_EXCLUSIVE,GLOBAL,131072,343.67
LOAD_FROM_SHARED_OR_FORWARD,LOCAL,262144,19.37
LOAD_FROM_MODIFIED,LOCAL,262144,33.87
LOAD_FROM_EXCLUSIVE,LOCAL,262144,25.24
STORE_ON_SHARED_OR_FORWARD,LOCAL,262144,119.43
STORE_ON_MODIFIED,LOCAL,262144,35.91
STORE_ON_EXCLUSIVE,LOCAL,262144,26.1
LOAD_FROM_SHARED_OR_FORWARD,SOCKET,262144,80.22
LOAD_FROM_MODIFIED,SOCKET,262144,124.33
LOAD_FROM_EXCLUSIVE,SOCKET,262144,209.85
STORE_ON_SHARED_OR_FORWARD,SOCKET,262144,168.38
STORE_ON_MODIFIED,SOCKET,262144,130.63
STORE_ON_EXCLUSIVE,SOCKET,262144,211.75
LOAD_FROM_SHARED_OR_FORWARD,GLOBAL,262144,448.39
LOAD_FROM_MODIFIED,GLOBAL,262144,392.65
LOAD_FROM_EXCLUSIVE,GLOBAL,262144,484.98
STORE_ON_SHARED_OR_FORWARD,GLOBAL,262144,453.71
STORE_ON_MODIFIED,GLOBAL,262144,397.72
STORE_ON_EXCLUSIVE,GLOBAL,262144,506.3
LOAD_FROM_SHARED_OR_FORWARD,LOCAL,524288,27.29
LOAD_FROM_MODIFIED,LOCAL,524288,50.84
LOAD_FROM_EXCLUSIVE,LOCAL,524288,39.46
STORE_ON_SHARED_OR_FORWARD,LOCAL,524288,107.07
STORE_ON_MODIFIED,LOCAL,524288,53.83
STORE_ON_EXCLUSIVE,LOCAL,524288,42.59
LOAD_FROM_SHARED_OR_FORWARD,SOCKET,524288,70.44
LOAD_FROM_MODIFIED,SOCKET,524288,95.02
LOAD_FROM_EXCLUSIVE,SOCKET,524288,167.55
STORE_ON_SHARED_OR_FORWARD,SOCKET,524288,133.83
STORE_ON_MODIFIED,SOCKET,524288,97.1
STORE_ON_EXCLUSIVE,SOCKET,524288,174.01
LOAD_FROM_SHARED_OR_FORWARD,GLOBAL,524288,381.92
LOAD_FROM_MODIFIED,GLOBAL,524288,336.36
LOAD_FROM_EXCLUSIVE,GLOBAL,524288,419.63
STORE_ON_SHARED_OR_FORWARD,GLOBAL,524288,385.95
STORE_ON_MODIFIED,GLOBAL,524288,337.55
STORE_ON_EXCLUSIVE,GLOBAL,524288,449.66
LOAD_FROM_SHARED_OR_FORWARD,LOCAL,1048576,61.73
LOAD_FROM_MODIFIED,LOCAL,1048576,73.24
LOAD_FROM_EXCLUSIVE,LOCAL,1048576,61.47
STORE_ON_SHARED_OR_FORWARD,LOCAL,1048576,97.7
STORE_ON_MODIFIED,LOCAL,1048576,71.41
STORE_ON_EXCLUSIVE,LOCAL,1048576,65.74
LOAD_FROM_SHARED_OR_FORWARD,SOCKET,1048576,88.08
LOAD_FROM_MODIFIED,SOCKET,1048576,92.02
LOAD_FROM_EXCLUSIVE,SOCKET,1048576,159.45
STORE_ON_SHARED_OR_FORWARD,SOCKET,1048576,106.81
STORE_ON_MODIFIED,SOCKET,1048576,97.44
STORE_ON_EXCLUSIVE,SOCKET,1048576,167.63
LOAD_FROM_SHARED_OR_FORWARD,GLOBAL,1048576,341.93
LOAD_FROM_MODIFIED,GLOBAL,1048576,322.54
LOAD_FROM_EXCLUSIVE,GLOBAL,1048576,369.48
STORE_ON_SHARED_OR_FORWARD,GLOBAL,1048576,346.58
STORE_ON_MODIFIED,GLOBAL,1048576,330.0
STORE_ON_EXCLUSIVE,GLOBAL,1048576,474.17
LOAD_FROM_SHARED_OR_FORWARD,LOCAL,2097152,86.28
LOAD_FROM_MODIFIED,LOCAL,2097152,77.14
LOAD_FROM_EXCLUSIVE,LOCAL,2097152,75.88
STORE_ON_SHARED_OR_FORWARD,LOCAL,2097152,99.0
STORE_ON_MODIFIED,LOCAL,2097152,79.06
STORE_ON_EXCLUSIVE,LOCAL,2097152,76.89
LOAD_FROM_SHARED_OR_FORWARD,SOCKET,2097152,78.37
LOAD_FROM_MODIFIED,SOCKET,2097152,76.37
LOAD_FROM_EXCLUSIVE,SOCKET,2097152,135.54
STORE_ON_SHARED_OR_FORWARD,SOCKET,2097152,79.0
STORE_ON_MODIFIED,SOCKET,2097152,82.04
STORE_ON_EXCLUSIVE,SOCKET,2097152,138.65
LOAD_FROM_SHARED_OR_FORWARD,GLOBAL,2097152,347.43
LOAD_FROM_MODIFIED,GLOBAL,2097152,334.71
LOAD_FROM_EXCLUSIVE,GLOBAL,2097152,351.71
STORE_ON_SHARED_OR_FORWARD,GLOBAL,2097152,350.28
STORE_ON_MODIFIED,GLOBAL,2097152,342.72
STORE_ON_EXCLUSIVE,GLOBAL,2097152,483.26
