Size,GLOBAL Cycles,SOCKET Cycles,LOCAL Cycles
4096,24.38,23.67,14.71
8192,24.45,23.58,13.61
16384,24.81,23.8,14.93
32768,24.48,24.34,15.07
65536,30.18,31.94,22.46
131072,33.05,21.59,18.47
262144,38.95,26.17,19.61
524288,59.95,35.17,23.13
1048576,109.63,56.57,48.29
2097152,184.92,79.99,75.0
