Size,GLOBAL Cycles,SOCKET Cycles,LOCAL Cycles
4096,853.33,804.96,488.31
8192,429.3,400.76,232.65
16384,218.7,202.15,117.6
32768,104.66,103.23,62.05
65536,56.46,62.48,45.96
131072,34.36,21.79,18.91
262144,19.75,13.04,9.06
524288,14.47,8.68,5.72
1048576,16.01,7.69,6.81
2097152,11.91,5.04,4.74
