Size,GLOBAL Cycles,SOCKET Cycles,LOCAL Cycles
4096,859.83,806.62,456.35
8192,430.05,399.75,220.55
16384,217.06,201.68,108.29
32768,102.62,101.11,56.57
65536,88.03,65.43,46.67
131072,39.03,21.25,21.25
262144,27.45,12.11,11.44
524288,17.45,8.98,7.83
1048576,17.52,8.15,7.51
2097152,12.25,6.09,5.03
