Size,GLOBAL Cycles,SOCKET Cycles,LOCAL Cycles
16384,222.38,234.56,214.79
32768,201.37,201.58,178.72
65536,166.82,167.68,154.42
131072,154.51,146.11,125.05
262144,283.52,284.49,196.31
524288,254.54,257.3,201.21
1048576,254.32,252.34,203.43
2097152,238.02,239.01,206.53
