Size,GLOBAL Cycles,SOCKET Cycles,LOCAL Cycles
16384,244.69,252.41,218.62
32768,226.83,218.38,185.28
65536,188.53,182.3,157.91
131072,170.08,168.51,132.02
262144,298.37,293.26,199.31
524288,263.15,272.45,202.32
1048576,257.63,256.02,204.3
2097152,243.15,244.12,206.47
