Size,GLOBAL Cycles,SOCKET Cycles,LOCAL Cycles
4096,24.39,23.41,15.42
8192,24.4,23.69,14.27
16384,24.74,23.76,14.54
32768,25.5,24.67,10.83
65536,47.65,45.32,17.88
131072,50.85,37.75,17.9
262144,62.78,45.56,18.09
524288,85.75,62.7,22.23
1048576,133.26,98.34,48.9
2097152,186.53,124.75,75.42
