Size,GLOBAL Cycles,SOCKET Cycles,LOCAL Cycles
4096,855.47,792.11,491.09
8192,430.77,400.78,272.93
16384,218.23,201.69,128.65
32768,112.75,103.35,46.73
65536,99.02,92.72,36.37
131072,52.33,39.19,18.12
262144,32.03,23.02,9.1
524288,22.18,16.42,5.76
1048576,19.05,12.83,6.74
2097152,14.35,8.17,4.73
