Test,Placement,Size,PAPI_TOT_INS,perf::L1-DCACHE-LOAD-MISSES,perf::L1-DCACHE-LOADS,Cycles
LOAD_FROM_INVALID,LOCAL,1048576,8.02,1.01,5.01,275.09
STORE_ON_MODIFIED,LOCAL,1048576,11.02,1.01,6.01,84.88
STORE_ON_EXCLUSIVE,LOCAL,1048576,11.02,1.01,6.01,82.18
STORE_ON_SHARED_OR_FORWARD,LOCAL,1048576,11.02,1.63,6.01,110.94
STORE_ON_INVALID,LOCAL,1048576,11.02,1.01,6.01,275.28
LOAD_FROM_MODIFIED,SOCKET,1048576,8.02,1.01,5.01,153.26
LOAD_FROM_EXCLUSIVE,SOCKET,1048576,8.02,1.01,5.01,161.89
LOAD_FROM_SHARED_OR_FORWARD,SOCKET,1048576,8.02,1.01,5.0,75.55
LOAD_FROM_INVALID,SOCKET,1048576,8.02,1.01,5.0,291.25
STORE_ON_MODIFIED,SOCKET,1048576,11.02,1.62,6.01,155.99
STORE_ON_EXCLUSIVE,SOCKET,1048576,11.02,1.62,6.0,164.72
STORE_ON_SHARED_OR_FORWARD,SOCKET,1048576,11.02,1.61,6.01,115.86
STORE_ON_INVALID,SOCKET,1048576,11.02,1.01,6.01,294.49
LOAD_FROM_MODIFIED,GLOBAL,1048576,8.02,1.01,5.01,380.15
LOAD_FROM_EXCLUSIVE,GLOBAL,1048576,8.02,1.01,5.01,388.7
LOAD_FROM_SHARED_OR_FORWARD,GLOBAL,1048576,8.02,1.01,5.01,389.36
LOAD_FROM_INVALID,GLOBAL,1048576,8.02,1.01,5.01,474.58
STORE_ON_MODIFIED,GLOBAL,1048576,11.02,1.01,6.01,385.79
STORE_ON_EXCLUSIVE,GLOBAL,1048576,11.02,1.8,6.01,471.94
STORE_ON_SHARED_OR_FORWARD,GLOBAL,1048576,11.02,1.07,6.01,388.33
STORE_ON_INVALID,GLOBAL,1048576,11.02,1.01,6.01,478.01
LOAD_FROM_MODIFIED,LOCAL,2097152,8.01,1.01,5.0,93.46
LOAD_FROM_EXCLUSIVE,LOCAL,2097152,8.01,1.01,5.0,88.01
LOAD_FROM_SHARED_OR_FORWARD,LOCAL,2097152,8.01,1.01,5.0,75.35
LOAD_FROM_INVALID,LOCAL,2097152,8.01,1.01,5.0,277.52
STORE_ON_MODIFIED,LOCAL,2097152,11.01,1.01,6.0,86.9
STORE_ON_EXCLUSIVE,LOCAL,2097152,11.01,1.01,6.0,88.76
STORE_ON_SHARED_OR_FORWARD,LOCAL,2097152,11.01,1.35,6.0,93.01
STORE_ON_INVALID,LOCAL,2097152,11.01,1.01,6.0,277.98
LOAD_FROM_MODIFIED,SOCKET,2097152,8.01,1.01,5.0,117.9
LOAD_FROM_EXCLUSIVE,SOCKET,2097152,8.01,1.01,4.99,139.58
LOAD_FROM_SHARED_OR_FORWARD,SOCKET,2097152,8.01,1.01,5.0,69.81
LOAD_FROM_INVALID,SOCKET,2097152,8.01,1.01,5.0,304.62
STORE_ON_MODIFIED,SOCKET,2097152,11.01,1.36,6.0,121.19
STORE_ON_EXCLUSIVE,SOCKET,2097152,11.01,1.34,6.0,141.57
STORE_ON_SHARED_OR_FORWARD,SOCKET,2097152,11.01,1.34,6.0,91.08
STORE_ON_INVALID,SOCKET,2097152,11.01,1.01,6.0,302.49
LOAD_FROM_MODIFIED,GLOBAL,2097152,8.01,1.01,5.0,353.42
LOAD_FROM_EXCLUSIVE,GLOBAL,2097152,8.01,1.01,5.0,385.53
LOAD_FROM_SHARED_OR_FORWARD,GLOBAL,2097152,8.01,1.01,5.0,370.86
LOAD_FROM_INVALID,GLOBAL,2097152,8.01,1.01,5.0,499.35
STORE_ON_MODIFIED,GLOBAL,2097152,11.01,1.01,6.0,354.69
STORE_ON_EXCLUSIVE,GLOBAL,2097152,11.01,1.77,6.0,518.98
STORE_ON_SHARED_OR_FORWARD,GLOBAL,2097152,11.01,1.08,6.0,367.16
STORE_ON_INVALID,GLOBAL,2097152,11.01,1.01,6.0,504.93
