Test,Placement,Size,PAPI_TOT_INS,perf::L1-DCACHE-LOAD-MISSES,perf::L1-DCACHE-LOADS,Cycles
STORE_ON_SHARED_OR_FORWARD,LOCAL,2097152,11.01,1.01,6.02,216.7
STORE_ON_INVALID,LOCAL,2097152,11.01,1.01,6.02,226.65
LOAD_FROM_MODIFIED,SOCKET,2097152,8.01,1.01,5.02,216.96
LOAD_FROM_EXCLUSIVE,SOCKET,2097152,8.01,1.01,5.02,250.32
LOAD_FROM_SHARED_OR_FORWARD,SOCKET,2097152,8.01,1.01,5.02,199.67
LOAD_FROM_INVALID,SOCKET,2097152,8.01,1.01,5.02,290.02
STORE_ON_MODIFIED,SOCKET,2097152,11.01,1.01,6.02,231.16
STORE_ON_EXCLUSIVE,SOCKET,2097152,11.01,1.02,6.02,264.27
STORE_ON_SHARED_OR_FORWARD,SOCKET,2097152,11.01,1.01,6.02,213.34
STORE_ON_INVALID,SOCKET,2097152,11.01,1.01,6.02,316.51
LOAD_FROM_MODIFIED,GLOBAL,2097152,8.01,1.01,5.02,220.27
LOAD_FROM_EXCLUSIVE,GLOBAL,2097152,8.01,1.01,5.01,256.39
LOAD_FROM_SHARED_OR_FORWARD,GLOBAL,2097152,8.01,1.01,5.02,199.26
LOAD_FROM_INVALID,GLOBAL,2097152,8.01,1.01,5.03,298.21
STORE_ON_MODIFIED,GLOBAL,2097152,11.01,1.01,6.02,230.64
STORE_ON_EXCLUSIVE,GLOBAL,2097152,11.01,1.03,6.02,262.45
STORE_ON_SHARED_OR_FORWARD,GLOBAL,2097152,11.01,1.01,6.02,210.77
STORE_ON_INVALID,GLOBAL,2097152,11.01,1.01,6.03,320.37
