Size,GLOBAL Cycles,SOCKET Cycles,LOCAL Cycles
4096,26.73,24.75,15.35
8192,26.92,25.05,17.06
16384,27.28,25.21,16.08
32768,28.19,25.84,11.68
65536,49.51,46.36,18.19
131072,52.33,39.19,18.12
262144,64.05,46.05,18.21
524288,88.71,65.69,23.05
1048576,152.41,102.61,53.88
2097152,229.67,130.76,75.74
