1024,3747
2048,6951
4096,10249
8192,19328
16384,35504
32768,67875
65536,131049
131072,263014
262144,1065980
524288,2170879
1048576,4374048
2097152,8778732
1024,4264
2048,5702
4096,10466
8192,19642
16384,34777
32768,67116
65536,132496
131072,283121
262144,1072378
524288,2184880
1048576,4608361
2097152,11324905
