Size,GLOBAL Cycles,SOCKET Cycles,LOCAL Cycles
4096,5.53,2.96,1.23
8192,5.6,3.17,1.9
16384,5.62,3.29,2.15
32768,5.46,3.1,1.71
65536,5.47,2.76,1.46
131072,5.1,2.1,1.09
262144,7.09,2.63,1.87
524288,6.03,2.09,1.67
1048576,5.42,1.67,1.53
2097152,5.47,1.23,1.55
