Size,GLOBAL Cycles,SOCKET Cycles,LOCAL Cycles
4096,6.28,2.75,0.74
8192,5.0,2.69,0.75
16384,5.46,2.88,0.7
32768,4.71,2.56,0.6
65536,4.52,1.96,0.53
131072,4.2,1.46,0.37
262144,6.21,2.04,0.56
524288,5.27,1.52,0.84
1048576,5.16,1.52,1.12
2097152,5.35,1.28,1.24
