Size,GLOBAL Cycles,SOCKET Cycles,LOCAL Cycles
4096,4.81,2.28,0.66
8192,4.8,2.34,0.65
16384,4.96,2.48,0.51
32768,4.63,2.15,0.45
65536,4.32,1.73,0.38
131072,3.99,1.38,0.36
262144,6.14,1.94,0.53
524288,5.26,1.48,0.79
1048576,5.04,1.44,1.14
2097152,5.23,1.19,1.21
