Size,GLOBAL Cycles,SOCKET Cycles,LOCAL Cycles
4096,5.19,1.6,0.66
8192,5.29,1.57,0.59
16384,5.26,1.45,0.65
32768,5.05,1.41,0.41
65536,5.25,1.29,0.47
131072,4.91,1.04,0.34
262144,7.01,1.25,0.3
524288,5.97,1.1,0.43
1048576,5.34,1.38,0.96
2097152,5.43,1.22,1.35
