Size,GLOBAL Cycles,SOCKET Cycles,LOCAL Cycles
4096,5.66,3.26,0.74
8192,5.78,3.68,0.8
16384,5.83,3.34,0.75
32768,5.72,3.31,0.43
65536,5.44,3.05,0.41
131072,5.37,2.62,0.38
262144,7.91,3.31,0.41
524288,7.03,2.72,0.67
1048576,7.41,2.62,1.03
2097152,7.55,2.17,1.2
