Size,GLOBAL Cycles,SOCKET Cycles,LOCAL Cycles
4096,5.34,2.89,0.66
8192,5.43,3.0,0.61
16384,5.4,2.93,0.54
32768,5.18,2.85,0.34
65536,5.19,2.79,0.29
131072,4.92,2.37,0.33
262144,7.58,3.28,0.39
524288,6.56,2.62,0.62
1048576,5.77,2.49,0.96
2097152,5.5,2.12,1.19
